Campaign Name,Campaign Status,Campaign Objective,Buying Type,Campaign Bid Strategy,Campaign Daily Budget,Ad Set Name,Ad Set Status,Ad Set Daily Budget,Optimization Goal,Billing Event,Destination Type,Age Min,Age Max,Gender,Countries,Locales,Flexible Inclusions,Custom Audiences,Excluded Custom Audiences,Placement Type,Attribution Spec,Ad Name,Ad Status,Title,Body,Link Description,Call To Action,Link,Video File Name
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-A_Advantage_large,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,55,All,FR,fr_FR,,,,Automatic,"7d_click,1d_view",V1-cire-a,PAUSED,Personne n'a jamais gardé un SMS.,"On s'envoie deux cents messages par jour et on n'en relit aucun. Une lettre, on la garde vingt ans dans un tiroir. Le Nécessaire à lettres : sceau à votre initiale, cire, porte-plume, encre, papier de coton.",Livraison offerte dès 60 € · 30 jours pour changer d'avis,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V1_la_cire_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-A_Advantage_large,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,55,All,FR,fr_FR,,,,Automatic,"7d_click,1d_view",V3-deballage-a,PAUSED,Un cadeau qu'on ne peut pas offrir distraitement.,"Un coffret toilé, un sceau de laiton gravé à son initiale, de la cire, une plume. Ça ne s'achète pas en dix secondes et ça ne s'oublie pas dans un placard.",Le Nécessaire à lettres — 68 € au lieu de 85 €,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V3_deballage_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-A_Advantage_large,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,55,All,FR,fr_FR,,,,Automatic,"7d_click,1d_view",V2-main-a,PAUSED,Écrire à la main oblige à savoir ce qu'on veut dire.,"La plume ne pardonne pas l'à-peu-près. On ralentit, on choisit ses mots, et la phrase change. C'est tout l'intérêt. Porte-plume, encre noire, papier de coton ivoire.",Expédié sous 48 h depuis l'Hérault,LEARN_MORE,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V2_la_main_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-A_Advantage_large,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,55,All,FR,fr_FR,,,,Automatic,"7d_click,1d_view",V1-cire-b,PAUSED,Un cadeau qu'on ne peut pas offrir distraitement.,"Un coffret toilé, un sceau de laiton gravé à son initiale, de la cire, une plume. Ça ne s'achète pas en dix secondes et ça ne s'oublie pas dans un placard.",Le Nécessaire à lettres — 68 € au lieu de 85 €,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V1_la_cire_montage2_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-B_Papeterie_journaling,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,50,All,FR,fr_FR,"Papeterie, Bullet journal, Moleskine, Calligraphie, Scrapbooking, Stylo-plume, Carterie",,,Automatic,"7d_click,1d_view",V1-cire-a,PAUSED,Personne n'a jamais gardé un SMS.,"On s'envoie deux cents messages par jour et on n'en relit aucun. Une lettre, on la garde vingt ans dans un tiroir. Le Nécessaire à lettres : sceau à votre initiale, cire, porte-plume, encre, papier de coton.",Livraison offerte dès 60 € · 30 jours pour changer d'avis,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V1_la_cire_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-B_Papeterie_journaling,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,50,All,FR,fr_FR,"Papeterie, Bullet journal, Moleskine, Calligraphie, Scrapbooking, Stylo-plume, Carterie",,,Automatic,"7d_click,1d_view",V3-deballage-a,PAUSED,Un cadeau qu'on ne peut pas offrir distraitement.,"Un coffret toilé, un sceau de laiton gravé à son initiale, de la cire, une plume. Ça ne s'achète pas en dix secondes et ça ne s'oublie pas dans un placard.",Le Nécessaire à lettres — 68 € au lieu de 85 €,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V3_deballage_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-B_Papeterie_journaling,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,50,All,FR,fr_FR,"Papeterie, Bullet journal, Moleskine, Calligraphie, Scrapbooking, Stylo-plume, Carterie",,,Automatic,"7d_click,1d_view",V2-main-a,PAUSED,Écrire à la main oblige à savoir ce qu'on veut dire.,"La plume ne pardonne pas l'à-peu-près. On ralentit, on choisit ses mots, et la phrase change. C'est tout l'intérêt. Porte-plume, encre noire, papier de coton ivoire.",Expédié sous 48 h depuis l'Hérault,LEARN_MORE,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V2_la_main_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-B_Papeterie_journaling,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,25,50,All,FR,fr_FR,"Papeterie, Bullet journal, Moleskine, Calligraphie, Scrapbooking, Stylo-plume, Carterie",,,Automatic,"7d_click,1d_view",V1-cire-b,PAUSED,Un cadeau qu'on ne peut pas offrir distraitement.,"Un coffret toilé, un sceau de laiton gravé à son initiale, de la cire, une plume. Ça ne s'achète pas en dix secondes et ça ne s'oublie pas dans un placard.",Le Nécessaire à lettres — 68 € au lieu de 85 €,SHOP_NOW,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V1_la_cire_montage2_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-C_Lenteur_deconnexion,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,28,52,All,FR,fr_FR,"Pleine conscience, Développement personnel, Détox numérique, Minimalisme, Lecture, Poésie",,,Automatic,"7d_click,1d_view",V5-fatigue-a,PAUSED,Écrire à la main oblige à savoir ce qu'on veut dire.,"La plume ne pardonne pas l'à-peu-près. On ralentit, on choisit ses mots, et la phrase change. C'est tout l'intérêt. Porte-plume, encre noire, papier de coton ivoire.",Expédié sous 48 h depuis l'Hérault,LEARN_MORE,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V5_la_fatigue_9x16.mp4
C1_Acquisition_Boutique,PAUSED,OUTCOME_SALES,AUCTION,LOWEST_COST_WITHOUT_CAP,60,C1-C_Lenteur_deconnexion,PAUSED,,OFFSITE_CONVERSIONS,IMPRESSIONS,WEBSITE,28,52,All,FR,fr_FR,"Pleine conscience, Développement personnel, Détox numérique, Minimalisme, Lecture, Poésie",,,Automatic,"7d_click,1d_view",V2-main-b,PAUSED,Écrire à la main oblige à savoir ce qu'on veut dire.,"La plume ne pardonne pas l'à-peu-près. On ralentit, on choisit ses mots, et la phrase change. C'est tout l'intérêt. Porte-plume, encre noire, papier de coton ivoire.",Expédié sous 48 h depuis l'Hérault,LEARN_MORE,https://konnexyon.com/boutique?utm_source=meta&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}},V2_la_main_9x16.mp4
